2026-03-26 14:33:06,042 INFO __main__ Main pipeline started
2026-03-26 14:33:06,042 INFO src.data_loader Starting data loading from file
2026-03-26 14:33:06,054 INFO src.data_loader Data loaded successfully
2026-03-26 14:33:06,054 INFO src.preprocess Starting data cleaning
2026-03-26 14:33:06,070 INFO src.preprocess Data cleaning completed successfully
2026-03-26 14:33:06,070 INFO src.preprocess Splitting features and target
2026-03-26 14:33:06,070 INFO src.preprocess Feature and target split completed successfully
2026-03-26 14:33:06,070 INFO src.preprocess Starting train test split
2026-03-26 14:33:06,078 INFO src.preprocess Train test split completed successfully
2026-03-26 14:33:06,078 INFO src.train Feature scaling started
2026-03-26 14:33:06,080 INFO src.train Feature scaling completed successfully
2026-03-26 14:33:06,080 INFO src.train Neural network model training started
2026-03-26 14:33:06,298 INFO src.train Neural network model training completed successfully
2026-03-26 14:33:06,298 INFO src.train Model evaluation started
2026-03-26 14:33:06,302 INFO src.train Model evaluation completed successfully
2026-03-26 14:33:06,302 INFO src.train Artifacts saved successfully
2026-03-26 14:33:06,307 INFO __main__ Main pipeline completed successfully
2026-03-26 14:33:27,462 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:34:25,788 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:34:36,866 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:34:44,633 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:34:52,522 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:34:56,102 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:35:02,674 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:35:07,205 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:35:14,298 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:35:21,499 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-03-26 14:35:25,774 INFO src.predict Model, scaler, and feature columns loaded successfully
2026-04-03 15:27:00,844 | INFO | src.data_loader | Loading dataset from C:\Users\afrin\OneDrive\Documents\GitHub\UCLA_Neural-Networks\data\Admission.csv
2026-04-03 15:27:00,871 | INFO | src.data_loader | Dataset loaded successfully with shape (500, 9)
2026-04-03 15:27:00,871 | INFO | src.preprocess | Starting data cleaning
2026-04-03 15:27:00,893 | INFO | src.preprocess | Data cleaning completed with shape (500, 13)
2026-04-03 15:27:00,893 | INFO | src.preprocess | Splitting features and target
2026-04-03 15:27:00,894 | INFO | src.preprocess | Creating train test split
2026-04-03 15:27:00,897 | INFO | src.train | Starting feature scaling
2026-04-03 15:27:00,903 | INFO | src.train | Feature scaling completed
2026-04-03 15:27:00,903 | INFO | src.train | Starting model training
2026-04-03 15:27:01,159 | INFO | src.train | Model training completed
2026-04-03 15:27:01,159 | INFO | src.train | Starting model evaluation
2026-04-03 15:27:01,177 | INFO | src.train | Evaluation completed with metrics {'train_accuracy': 0.8975, 'test_accuracy': 0.85, 'precision': 0.75, 'recall': 0.7741935483870968, 'f1_score': 0.7619047619047619, 'confusion_matrix': [[61, 8], [7, 24]]}
2026-04-03 15:27:01,177 | INFO | src.train | Saving artifacts
2026-04-03 15:27:01,182 | INFO | src.train | Artifacts saved successfully
2026-04-03 15:29:22,284 | INFO | src.data_loader | Loading dataset from C:\Users\afrin\OneDrive\Documents\GitHub\UCLA_Neural-Networks\data\Admission.csv
2026-04-03 15:29:22,284 | INFO | src.data_loader | Dataset loaded successfully with shape (500, 9)
2026-04-03 15:29:22,284 | INFO | src.preprocess | Starting data cleaning
2026-04-03 15:29:22,294 | INFO | src.preprocess | Data cleaning completed with shape (500, 13)
2026-04-03 15:29:22,294 | INFO | src.preprocess | Splitting features and target
2026-04-03 15:29:22,294 | INFO | src.preprocess | Creating train test split
2026-04-03 15:29:22,297 | INFO | src.train | Starting feature scaling
2026-04-03 15:29:22,299 | INFO | src.train | Feature scaling completed
2026-04-03 15:29:22,299 | INFO | src.train | Starting model training
2026-04-03 15:29:22,331 | INFO | src.train | Model training completed
2026-04-03 15:29:22,331 | INFO | src.train | Starting model evaluation
2026-04-03 15:29:22,346 | INFO | src.train | Evaluation completed with metrics {'train_accuracy': 0.8475, 'test_accuracy': 0.82, 'precision': 0.6666666666666666, 'recall': 0.8387096774193549, 'f1_score': 0.7428571428571429, 'confusion_matrix': [[56, 13], [5, 26]]}
2026-04-03 15:29:22,346 | INFO | src.train | Saving artifacts
2026-04-03 15:29:22,346 | INFO | src.train | Artifacts saved successfully
